Month,Day,Period,Solar PV
2,9,9,19.12
2,9,10,42.47
2,9,11,54.97
2,9,12,54.19
2,9,13,56.60
2,9,14,62.45
2,9,15,61.99
2,9,16,68.51
2,9,17,63.99
2,9,18,36.48
2,9,19,0.91
2,9,20,0.00
2,9,21,0.00
2,9,22,0.00
2,9,23,0.00
2,9,24,0.00
2,10,1,0.00
2,10,2,0.00
2,10,3,0.00
2,10,4,0.00
2,10,5,0.00
2,10,6,0.00
2,10,7,0.00
2,10,8,0.00
2,10,9,11.35
2,10,10,34.51
2,10,11,58.47
2,10,12,65.21
2,10,13,67.06
2,10,14,64.22
2,10,15,59.71
2,10,16,55.66
2,10,17,46.70
2,10,18,29.48
2,10,19,0.92
2,10,20,0.00
2,10,21,0.00
2,10,22,0.00
2,10,23,0.00
2,10,24,0.00
2,11,1,0.00
2,11,2,0.00
2,11,3,0.00
2,11,4,0.00
2,11,5,0.00
2,11,6,0.00
2,11,7,0.00
2,11,8,0.00
2,11,9,7.63
2,11,10,25.01
2,11,11,42.29
2,11,12,49.41
2,11,13,57.45
2,11,14,56.70
2,11,15,63.79
2,11,16,62.35
2,11,17,54.68
2,11,18,37.76
2,11,19,1.49
2,11,20,0.00
2,11,21,0.00
2,11,22,0.00
2,11,23,0.00
2,11,24,0.00
2,12,1,0.00
2,12,2,0.00
2,12,3,0.00
2,12,4,0.00
2,12,5,0.00
2,12,6,0.00
2,12,7,0.00
2,12,8,0.00
2,12,9,23.48
2,12,10,32.21
2,12,11,19.26
2,12,12,9.54
2,12,13,36.53
2,12,14,53.47
2,12,15,54.49
2,12,16,53.20
2,12,17,64.88
2,12,18,46.80
2,12,19,1.96
2,12,20,0.00
2,12,21,0.00
2,12,22,0.00
2,12,23,0.00
2,12,24,0.00
2,13,1,0.00
2,13,2,0.00
2,13,3,0.00
2,13,4,0.00
2,13,5,0.00
2,13,6,0.00
2,13,7,0.00
2,13,8,0.00
2,13,9,10.37
2,13,10,40.73
2,13,11,60.93
2,13,12,53.36
2,13,13,56.04
2,13,14,56.26
2,13,15,68.00
2,13,16,49.02
2,13,17,24.08
2,13,18,30.65
2,13,19,0.00
2,13,20,0.00
2,13,21,0.00
2,13,22,0.00
2,13,23,0.00
2,13,24,0.00
2,14,1,0.00
2,14,2,0.00
2,14,3,0.00
2,14,4,0.00
2,14,5,0.00
2,14,6,0.00
2,14,7,0.00
2,14,8,0.00
2,14,9,27.81
2,14,10,55.98
2,14,11,66.11
2,14,12,70.90
2,14,13,70.07
2,14,14,70.24
2,14,15,68.15
2,14,16,67.96
2,14,17,59.67
2,14,18,40.31
2,14,19,1.45
2,14,20,0.00
2,14,21,0.00
2,14,22,0.00
2,14,23,0.00
2,14,24,0.00
2,15,1,0.00
2,15,2,0.00
2,15,3,0.00
2,15,4,0.00
2,15,5,0.00
2,15,6,0.00
2,15,7,0.00
2,15,8,0.00
2,15,9,20.27
2,15,10,56.72
2,15,11,67.87
2,15,12,67.54
2,15,13,67.83
2,15,14,64.67
2,15,15,66.91
2,15,16,66.30
2,15,17,60.24
2,15,18,37.36
2,15,19,1.24
2,15,20,0.00
2,15,21,0.00
2,15,22,0.00
2,15,23,0.00
2,15,24,0.00
2,16,1,0.00
2,16,2,0.00
2,16,3,0.00
2,16,4,0.00
2,16,5,0.00
2,16,6,0.00
2,16,7,0.00
2,16,8,0.00
2,16,9,17.02
2,16,10,64.49
2,16,11,52.77
2,16,12,13.77
2,16,13,40.93
2,16,14,27.29
2,16,15,34.06
2,16,16,75.90
2,16,17,81.58
2,16,18,69.65
2,16,19,21.42
2,16,20,0.00
2,16,21,0.00
2,16,22,0.00
2,16,23,0.00
2,16,24,0.00
2,17,1,0.00
2,17,2,0.00
2,17,3,0.00
2,17,4,0.00
2,17,5,0.00
2,17,6,0.00
2,17,7,0.00
2,17,8,0.00
2,17,9,30.38
2,17,10,34.57
2,17,11,51.70
2,17,12,49.42
2,17,13,48.59
2,17,14,42.69
2,17,15,42.97
2,17,16,41.12
2,17,17,33.38
2,17,18,22.57
2,17,19,0.00
2,17,20,0.00
2,17,21,0.00
2,17,22,0.00
2,17,23,0.00
2,17,24,0.00
2,18,1,0.00
2,18,2,0.00
2,18,3,0.00
2,18,4,0.00
2,18,5,0.00
2,18,6,0.00
2,18,7,0.00
2,18,8,0.00
2,18,9,17.90
2,18,10,58.65
2,18,11,76.40
2,18,12,73.97
2,18,13,73.21
2,18,14,55.31
2,18,15,58.70
2,18,16,42.57
2,18,17,25.92
2,18,18,14.16
2,18,19,0.00
2,18,20,0.00
2,18,21,0.00
2,18,22,0.00
2,18,23,0.00
2,18,24,0.00
2,19,1,0.00
2,19,2,0.00
2,19,3,0.00
2,19,4,0.00
2,19,5,0.00
2,19,6,0.00
2,19,7,0.00
2,19,8,0.00
2,19,9,29.08
2,19,10,56.65
2,19,11,59.16
2,19,12,65.67
2,19,13,66.55
2,19,14,69.11
2,19,15,71.81
2,19,16,72.67
2,19,17,68.27
2,19,18,49.58
2,19,19,2.12
2,19,20,0.00
2,19,21,0.00
2,19,22,0.00
2,19,23,0.00
2,19,24,0.00
2,20,1,0.00
2,20,2,0.00
2,20,3,0.00
2,20,4,0.00
2,20,5,0.00
2,20,6,0.00
2,20,7,0.00
2,20,8,0.00
2,20,9,40.92
2,20,10,71.58
2,20,11,76.02
2,20,12,76.70
2,20,13,76.38
2,20,14,75.54
2,20,15,75.77
2,20,16,75.22
2,20,17,73.74
2,20,18,56.10
2,20,19,1.84
2,20,20,0.00
2,20,21,0.00
2,20,22,0.00
2,20,23,0.00
2,20,24,0.00
2,21,1,0.00
2,21,2,0.00
2,21,3,0.00
2,21,4,0.00
2,21,5,0.00
2,21,6,0.00
2,21,7,0.00
2,21,8,0.00
2,21,9,13.69
2,21,10,35.62
2,21,11,52.27
2,21,12,55.18
2,21,13,57.78
2,21,14,64.13
2,21,15,65.49
2,21,16,59.68
2,21,17,61.15
2,21,18,39.38
2,21,19,2.10
2,21,20,0.00
2,21,21,0.00
2,21,22,0.00
2,21,23,0.00
2,21,24,0.00
2,22,1,0.00
2,22,2,0.00
2,22,3,0.00
2,22,4,0.00
2,22,5,0.00
2,22,6,0.00
2,22,7,0.00
2,22,8,0.00
2,22,9,9.89
2,22,10,15.19
2,22,11,37.94
2,22,12,51.82
2,22,13,61.42
2,22,14,66.49
2,22,15,72.01
2,22,16,64.25
2,22,17,50.08
2,22,18,37.81
2,22,19,1.72
2,22,20,0.00
2,22,21,0.00
2,22,22,0.00
2,22,23,0.00
2,22,24,0.00
2,23,1,0.00
2,23,2,0.00
2,23,3,0.00
2,23,4,0.00
2,23,5,0.00
2,23,6,0.00
2,23,7,0.00
2,23,8,0.00
2,23,9,25.39
2,23,10,54.85
2,23,11,65.97
2,23,12,55.05
2,23,13,50.93
2,23,14,56.61
2,23,15,68.36
2,23,16,60.49
2,23,17,62.58
2,23,18,47.19
2,23,19,6.57
2,23,20,0.00
2,23,21,0.00
2,23,22,0.00
2,23,23,0.00
2,23,24,0.00
2,24,1,0.00
2,24,2,0.00
2,24,3,0.00
2,24,4,0.00
2,24,5,0.00
2,24,6,0.00
2,24,7,0.00
2,24,8,0.00
2,24,9,18.17
2,24,10,46.77
2,24,11,57.83
2,24,12,67.70
2,24,13,68.47
2,24,14,64.47
2,24,15,65.10
2,24,16,65.26
2,24,17,60.01
2,24,18,38.19
2,24,19,2.18
2,24,20,0.00
2,24,21,0.00
2,24,22,0.00
2,24,23,0.00
2,24,24,0.00
2,25,1,0.00
2,25,2,0.00
2,25,3,0.00
2,25,4,0.00
2,25,5,0.00
2,25,6,0.00
2,25,7,0.00
2,25,8,0.00
2,25,9,27.70
2,25,10,47.40
2,25,11,62.37
2,25,12,71.51
2,25,13,73.58
2,25,14,73.55
2,25,15,69.51
2,25,16,56.43
2,25,17,45.64
2,25,18,24.17
2,25,19,0.80
2,25,20,0.00
2,25,21,0.00
2,25,22,0.00
